"year","jan.jun.SST","anom"
1950,4.60743978529265,-1.58807428964327
1951,4.5275789697965,-1.76504620471404
1952,4.54771336822799,-1.7204282900699
1953,5.03503021688172,-0.640532030349693
1954,4.81292269266013,-1.13272327168525
1955,5.19362330075466,-0.289089065541446
1956,4.98134530313087,-0.759498033111767
1957,5.30867737351042,-0.0341287390561995
1958,6.00315930626609,1.50484624959437
1959,5.76271485559868,0.972020299366008
1960,5.28292076515429,-0.0912054953877358
1961,5.45759753024939,0.295878977080939
1962,4.93757213245739,-0.856499570031702
1963,5.31628080570337,-0.0172795001905969
1964,5.19204899036523,-0.292577744223258
1965,4.24499063419573,-2.39126318756386
1966,4.66540224263162,-1.45962923165386
1967,5.06626546744144,-0.571314579026082
1968,5.20838428988601,-0.256378649316863
1969,4.52810497356184,-1.7638805780784
1970,5.46381141922691,0.309648982127287
1971,4.0743486700636,-2.7694065235201
1972,3.61700975894928,-3.78287154304745
1973,4.52278310963602,-1.77567385172389
1974,4.62905976989053,-1.54016430958215
1975,4.3961682175145,-2.05625300429093
1976,4.53786480426788,-1.74225275071294
1977,5.68643887476488,0.80299239352513
1978,4.95742548595775,-0.812504452179371
1979,5.410203908429,0.190854504646164
1980,5.06885013435826,-0.56558694587774
1981,5.87567073287386,1.22233101552504
1982,4.78719383297545,-1.18973853683997
1983,5.89758209748702,1.2708866949695
1984,6.10606369105252,1.73288281460679
1985,5.18842391534285,-0.30061092626629
1986,5.08913096153375,-0.520644544498956
1987,5.82570453846093,1.11160571101723
1988,5.62947801026431,0.676766869629285
1989,5.09416567556786,-0.509487596264526
1990,5.20583888256189,-0.262019283036758
1991,4.9093793702848,-0.918974853834146
1992,5.16756103255532,-0.346843165417218
1993,5.42708779103828,0.228269262066695
1994,5.64042263319998,0.701020201737398
1995,4.89654069597071,-0.947425412048701
1996,5.37896380280003,0.121626294467949
1997,5.35282277338433,0.0636976593935671
1998,5.71922855666189,0.875654471464419
1999,4.81787988633821,-1.12173810889753
2000,5.09804281321439,-0.500895842348207
2001,5.73229223309141,0.904603635347023
2002,5.09998462778149,-0.49659277280756
2003,6.07575046654904,1.6657085770408
2004,5.38839674357212,0.142529732315581
2005,5.98469251936132,1.46392376935876
2006,5.15646827943397,-0.371424754662154
2007,4.59957834987929,-1.60549526476936
2008,4.56919352936022,-1.6728281594178
2009,4.56831218798955,-1.67478121573497
2010,5.44050133228302,0.257993727904091
2011,5.37800865101092,0.119509673941937
2012,4.53559026573644,-1.74729313800816
2013,5.11839819315708,-0.455788231712491
2014,6.01496266235005,1.53100253810034
2015,6.62978870940931,2.8934597370092
2016,6.97807764284538,3.66526953090124
2017,5.87523352377342,1.22136215825368
2018,5.87981201663162,1.23150811837465
2019,6.78453020616011,3.2363675679745
2020,5.83371292822289,1.12935233762004
